country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",19-10-2025 20:00,17.417094,78.457437,PM2.5,19,311,131
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",19-10-2025 20:00,17.417094,78.457437,PM10,21,184,111
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",19-10-2025 20:00,17.417094,78.457437,NO2,17,21,19
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",19-10-2025 20:00,17.417094,78.457437,OZONE,18,49,40
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",19-10-2025 20:00,22.5367507,88.3638022,CO,8,31,13
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",19-10-2025 20:00,22.58157048,88.41002457,NO2,12,21,17
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",19-10-2025 20:00,22.58157048,88.41002457,SO2,6,9,7
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",19-10-2025 20:00,22.58157048,88.41002457,CO,25,44,28
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",19-10-2025 20:00,22.58157048,88.41002457,OZONE,15,37,31
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",19-10-2025 20:00,22.55664,88.342674,PM10,59,104,82
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",19-10-2025 20:00,22.49929,88.36917,NH3,6,10,7
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",19-10-2025 20:00,22.49929,88.36917,OZONE,16,74,63
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",19-10-2025 20:00,22.627847,88.380669,PM2.5,NA,NA,NA
